site_id,visit_date,survey_type,capture_life_stage,capture_animal_state,pit_tag_ref,sex
70550,2014-07-15,cmr,adult,healthy,900118001030982,m
70550,2014-07-15,cmr,adult,healthy,900118001057432,f
70550,2014-07-15,cmr,adult,healthy,900118001057462,m
70505,2014-07-15,cmr,adult,healthy,900118001057628,f
70550,2014-07-15,cmr,adult,healthy,900118001058242,m
70550,2014-07-15,cmr,adult,healthy,900118001058634,f
70550,2014-07-16,cmr,adult,healthy,900043000104489,f
70550,2014-07-16,cmr,adult,healthy,900118001027764,m
70550,2014-07-16,cmr,adult,healthy,900118001027782,f
70550,2014-07-16,cmr,adult,healthy,900118001027920,f
70550,2014-07-16,cmr,adult,healthy,900118001028223,f
70550,2014-07-16,cmr,adult,healthy,900118001028229,f
70550,2014-07-16,cmr,adult,healthy,900118001028262,f
70550,2014-07-16,cmr,adult,healthy,900118001028883,m
70550,2014-07-16,cmr,adult,healthy,900118001029951,m
70550,2014-07-16,cmr,adult,healthy,900118001030217,f
70550,2014-07-16,cmr,adult,healthy,900118001031019,f
70550,2014-07-16,cmr,adult,healthy,900118001031211,f
70550,2014-07-16,cmr,adult,healthy,900118001057549,f
70550,2014-07-16,cmr,adult,healthy,900118001058634,f
70550,2014-07-16,cmr,adult,healthy,900118001058953,m
70550,2014-07-16,cmr,adult,healthy,900118001058971,m
70550,2014-07-16,cmr,adult,healthy,985121013713983,f
70505,2014-07-14,cmr,adult,healthy,900118001029679,f
70505,2014-07-14,cmr,adult,healthy,900118001029790,f
70550,2014-07-14,cmr,adult,healthy,900118001029951,m
70550,2014-07-14,cmr,adult,healthy,900118001030210,f
70550,2014-07-16,cmr,adult,healthy,900118001057441,f
70550,2014-07-14,cmr,adult,healthy,900118001030217,f
70550,2014-07-14,cmr,adult,healthy,900118001030572,m
70550,2014-07-14,cmr,adult,healthy,900118001031019,f
70505,2013-08-05,cmr,adult,healthy,900118001058319,f
70505,2014-07-15,cmr,adult,healthy,900043000104416,f
70550,2018-06-30,cmr,adult,healthy,900067000114743,f
70550,2018-08-18,cmr,adult,healthy,900067000117270,m
70505,2013-08-11,cmr,adult,healthy,900118001057931,m
70550,2014-08-10,cmr,adult,healthy,900043000104423,m
70550,2014-08-10,cmr,adult,healthy,900043000104432,m
70505,2014-08-10,cmr,adult,healthy,900043000104434,m
70505,2014-07-14,cmr,adult,healthy,900118001057628,f
70449,2014-08-08,cmr,adult,healthy,900043000104510,f
70550,2014-08-10,cmr,adult,healthy,900043000104478,f
70550,2014-08-10,cmr,adult,healthy,900043000104480,f
70550,2014-08-10,cmr,adult,healthy,900043000104485,f
70550,2014-08-10,cmr,adult,healthy,900043000104489,f
70505,2014-08-10,cmr,adult,healthy,900043000104495,f
70505,2014-08-10,cmr,adult,healthy,900118001027527,m
70550,2014-08-10,cmr,adult,healthy,900118001027569,m
70505,2014-08-10,cmr,adult,healthy,900118001027865,f
70550,2014-08-10,cmr,adult,healthy,900118001027927,m
70505,2014-07-15,cmr,adult,healthy,900043000104455,f
70550,2014-08-10,cmr,adult,healthy,900118001028032,f
70550,2014-08-10,cmr,adult,healthy,900118001028223,f
70550,2014-08-10,cmr,adult,healthy,900118001028627,m
70550,2014-08-10,cmr,adult,healthy,900118001028883,m
70550,2014-08-10,cmr,adult,healthy,900118001028936,m
70550,2014-08-10,cmr,adult,healthy,900118001029269,f
70550,2014-08-10,cmr,adult,healthy,900118001029375,m
70550,2014-08-10,cmr,adult,healthy,900118001029442,f
70550,2014-08-10,cmr,adult,healthy,900118001029643,f
70505,2014-08-10,cmr,adult,healthy,900118001029679,f
70550,2014-08-10,cmr,adult,healthy,900118001029695,m
70550,2014-08-10,cmr,adult,healthy,900118001030210,f
70550,2014-08-10,cmr,adult,healthy,900118001031019,f
70550,2014-08-10,cmr,adult,healthy,900118001031211,f
70550,2014-08-11,cmr,adult,healthy,900118001029284,f
70550,2014-08-11,cmr,adult,healthy,900118001029643,f
70505,2014-08-11,cmr,adult,healthy,900118001029679,f
70550,2014-08-11,cmr,adult,healthy,900118001030217,f
70550,2014-08-11,cmr,adult,healthy,900118001030982,m
70550,2014-08-11,cmr,adult,healthy,900118001031019,f
70550,2014-08-11,cmr,adult,healthy,900118001057462,m
70505,2014-08-11,cmr,adult,healthy,900118001057539,m
70550,2014-08-11,cmr,adult,healthy,900118001057958,f
70550,2014-08-11,cmr,adult,healthy,900118001058634,f
70550,2014-08-11,cmr,adult,healthy,900118001058953,m
70550,2014-08-11,cmr,adult,healthy,900118001058971,m
70550,2014-08-11,cmr,adult,healthy,900118001059340,f
70505,2014-08-11,cmr,adult,healthy,900118001059787,m
70550,2014-08-11,cmr,adult,healthy,900118001060518,m
70550,2014-08-11,cmr,adult,healthy,900118001060654,m
70550,2014-08-11,cmr,adult,healthy,900118001065568,m
70550,2014-08-11,cmr,adult,healthy,985121013711006,f
70505,2014-08-11,cmr,adult,healthy,985121019076143,m
70550,2014-08-11,cmr,adult,healthy,985121019078609,f
70550,2014-08-11,cmr,adult,healthy,985121019093915,m
70550,2014-08-12,cmr,adult,healthy,900043000104400,f
70550,2014-08-12,cmr,adult,healthy,900043000104480,f
70550,2014-08-12,cmr,adult,healthy,900043000104481,m
70550,2014-08-12,cmr,adult,healthy,900043000104486,m
70550,2014-08-12,cmr,adult,healthy,900118001029284,f
70550,2014-08-12,cmr,adult,healthy,900118001029951,m
70550,2014-08-12,cmr,adult,healthy,900118001030142,m
70550,2014-08-12,cmr,adult,healthy,900118001031348,f
