site_id,release_date,years_since_intro,pit_tag_ref,median_survival
70619,2008-07-15,1,985121012028793,0
70619,2008-07-15,1,985121012029320,0
70619,2008-07-15,1,985121012029588,0
70619,2008-07-15,1,985121012029728,0
70619,2008-07-15,1,985121012030900,0.5
70619,2008-07-15,1,985121012031389,0.5
70619,2008-07-15,1,985121012033178,0
70619,2008-07-15,1,985121012052049,0
70619,2008-07-15,1,985121012056454,0
70619,2008-07-15,1,985121013699370,0
70619,2008-07-15,1,985121013700755,0
70619,2008-07-15,1,985121013701012,0
70619,2008-07-15,1,985121013702881,0.5
70619,2008-07-15,1,985121013704817,0
70619,2008-07-15,1,985121013705102,1
70619,2008-07-15,1,985121013706912,0
70619,2008-07-15,1,985121013709017,0
70619,2008-07-15,1,985121013711374,1
70619,2008-07-15,1,985121013713217,0
70619,2008-07-15,1,985121013713747,0
70619,2008-07-15,1,985121013715395,0
70628,2020-08-05,1,982126058790465,1
70628,2020-08-05,1,982126058790469,0.5
70628,2020-08-05,1,982126058790481,1
70628,2020-08-05,1,982126058790483,0.5
70628,2020-08-05,1,982126058790484,1
70628,2020-08-05,1,982126058790488,0.5
70628,2020-08-05,1,982126058790494,1
70628,2020-08-05,1,982126058790496,1
70628,2020-08-05,1,982126058790508,0
70628,2020-08-05,1,982126058790510,1
70628,2020-08-05,1,982126058790511,1
70628,2020-08-05,1,982126058790524,1
70628,2020-08-05,1,982126058790527,1
70628,2020-08-05,1,982126058790538,0.5
70628,2020-08-05,1,982126058790545,0
70628,2020-08-05,1,982126058790549,0
70628,2020-08-05,1,982126058790554,0
70628,2020-08-05,1,982126058790557,0
70628,2020-08-05,1,982126058790578,0
70628,2020-08-05,1,982126058790597,0.5
70628,2020-08-05,1,982126058790601,0
70628,2020-08-05,1,982126058790610,0
70628,2020-08-05,1,982126058790613,1
70628,2020-08-05,1,982126058790614,0
70628,2020-08-05,1,982126058790615,0.5
70628,2020-08-05,1,982126058790617,1
70628,2020-08-05,1,982126058790618,1
70628,2020-08-05,1,982126058790626,1
70628,2020-08-05,1,982126058790634,0
70628,2020-08-05,1,982126058790639,1
70641,2015-08-12,1,900043000104460,0
70641,2015-08-12,1,900043000104497,0
70641,2015-08-12,1,900067000063902,0
70641,2015-08-12,1,900067000063903,0
70641,2015-08-12,1,900067000063904,0
70641,2015-08-12,1,900067000063905,0
70641,2015-08-12,1,900067000063906,0
70641,2015-08-12,1,900067000063907,0
70641,2015-08-12,1,900067000063910,0
70641,2015-08-12,1,900067000063911,0
70641,2015-08-12,1,900067000063912,0
70641,2015-08-12,1,900067000063913,0
70641,2015-08-12,1,900067000063914,0
70641,2015-08-12,1,900067000063915,0
70641,2015-08-12,1,900067000063917,0
70641,2015-08-12,1,900067000063918,0
70641,2015-08-12,1,900067000063919,0
70641,2015-08-12,1,900067000063920,0
70641,2015-08-12,1,900067000063921,0
70641,2015-08-12,1,900067000063922,0
70641,2015-08-12,1,900067000063924,0
70641,2015-08-12,1,900067000063925,0
70641,2015-08-12,1,900067000063926,1
70641,2015-08-12,1,900067000063928,1
