relocate_id,release_siteid1,release_date,collect_siteid,type,pit_tag_ref,sex,length,weight,swab_id,bd_load
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078279,f,49,11,RKS22101,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114082,m,48,12,RKS22070,236947.6
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114106,f,50,13,RKS22069,5043.528
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114091,f,53,12,RKS22068,18.144
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114111,f,48,11,RKS22062,68752.112
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001029614,m,51,11,RKS16435,NA
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001027943,f,61,22,RKS16408,3024
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001028329,m,43,16,RKS16409,9552
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001029981,f,52,15,RKS16410,28176
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001058227,m,49,14,RKS16412,23568
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001028945,f,54,20,RKS16413,59760
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001030433,f,55,20,RKS16414,864
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001029701,f,54,16,RKS16415,288
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001030201,f,61,24,RKS16416,1536
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000114046,f,59,22,RKS24953,14588.896
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000116848,f,56,21,RKS24952,26608.664
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000114585,f,59,24,RKS24951,561.464
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000113992,m,52,15,RKS24950,1611.344
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001030121,m,53,16,RKS16417,1008
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001057993,f,59,24,RKS16428,NA
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001029071,f,60,26,RKS16429,NA
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001030233,m,49,12,RKS16430,NA
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001028660,f,62,26,RKS16431,NA
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001028708,m,60,24,RKS16432,NA
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001029276,f,53,14,RKS16433,NA
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001029743,f,55,19,RKS16434,NA
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001030340,m,60,14,RKS16436,NA
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,982000365440275,f,60,27,RKS18215,30774.24
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,982000365440208,m,53,16,RKS18243,107.52
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,900043000108268,f,46,9,RKS18245,31668.48
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,982000365440190,f,57,22,RKS18249,279902.88
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,982000365440229,f,61,31,RKS18250,38094.24
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,982000365440357,f,63,28,RKS18295,206755.68
0163423a-ce4e-473b-9bbb-b304913ef461,70413,2013-07-15,70567,translocation,900118001027669,m,NA,NA,,NA
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,982000365440220,f,48,12,RKS18423,80506.08
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,982000365440193,f,64,29,RKS18424,7078.56
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,900118001057424,m,56,21,RKS18425,890.88
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,982000365440258,m,53,16,RKS18427,1079.04
